"name","zl","zs","sigma_0","dsigma_0","theta_E","theta_ap","sigma_atm","sigma_ap","d_sigma_ap"
"J2321-0939",0.082,0.532,246,8,1.6,1.5,1.4,249,8
"J1106+5228",0.096,0.407,268,13,1.23,1.5,1.4,262,13
"J1143-0144",0.106,0.402,264,13,1.68,1.5,1.4,269,13
"J0841+3824",0.116,0.657,222,11,1.41,1.5,1.4,225,11
"J0044+0113",0.12,0.196,267,13,0.79,1.5,1.4,266,13
"J1213+6708",0.123,0.64,291,15,1.42,1.5,1.4,292,15
"J1451-0239",0.125,0.52,225,14,1.04,1.5,1.4,223,14
"J1218+0830",0.135,0.717,218,11,1.45,1.5,1.4,219,11
"J1134+6027",0.153,0.474,243,12,1.1,1.5,1.4,239,12
"J2303+1422",0.155,0.517,254,16,1.62,1.5,1.4,255,16
"J1531-0105",0.16,0.744,281,14,1.71,1.5,1.4,279,14
"J1204+0358",0.164,0.631,275,17,1.31,1.5,1.4,267,17
"J1016+3859",0.168,0.439,254,13,1.09,1.5,1.4,247,13
"J1153+4612",0.18,0.875,235,16,1.05,1.5,1.4,226,15
"J2341+0000",0.186,0.807,207,13,1.44,1.5,1.4,207,13
"J1403+0006",0.189,0.473,219,17,0.83,1.5,1.4,213,17
"J0936+0913",0.19,0.588,246,12,1.09,1.5,1.4,243,12
"J1023+4230",0.191,0.696,247,15,1.41,1.5,1.4,242,15
"J0037-0942",0.196,0.632,283,10,1.53,1.5,1.4,279,10
"J1402+6321",0.205,0.481,268,17,1.35,1.5,1.4,267,17
"J0728+3835",0.206,0.688,219,11,1.25,1.5,1.4,214,11
"J1627-0053",0.208,0.524,295,14,1.23,1.5,1.4,290,14
"J1205+4910",0.215,0.481,283,14,1.22,1.5,1.4,281,14
"J0808+4706",0.219,1.025,238,11,1.23,1.5,1.4,236,11
"J0946+1006",0.222,0.608,266,21,1.38,1.5,1.4,263,21
"J1142+1001",0.222,0.504,225,22,0.98,1.5,1.4,221,22
"J1251-0208",0.224,0.784,234,23,0.84,1.5,1.4,233,23
"J0029-0055",0.227,0.931,232,18,0.96,1.5,1.4,229,18
"J1636+4707",0.228,0.674,236,15,1.09,1.5,1.4,231,15
"J2300+0022",0.228,0.464,285,17,1.24,1.5,1.4,279,17
"J1250+0523",0.232,0.795,257,14,1.13,1.5,1.4,252,14
"J0225-0454",0.238,1.199,233,21,1.76,1,0.7,234,21
"J0822+2652",0.241,0.594,264,15,1.17,1.5,1.4,259,15
"J1621+3931",0.245,0.602,239,20,1.29,1.5,1.4,236,20
"J1630+4520",0.248,0.793,281,16,1.78,1.5,1.4,276,16
"J0849-0251",0.274,2.09,279,35,1.16,0.9,0.8,276,35
"J1020+1122",0.282,0.553,289,18,1.2,1.5,1.4,282,18
"J1436-0000",0.285,0.805,227,17,1.12,1.5,1.4,224,17
"J0109+1500",0.294,0.525,259,20,0.69,1.5,1.4,251,19
"J1416+5136",0.299,0.811,247,26,1.37,1.5,1.4,240,25
"J1411+5651",0.322,1.42,221,24,0.93,1,1.3,214,23
"J2221+0115",0.325,2.35,227,24,1.4,1,1.2,222,23
"J0850-0347",0.337,3.25,309,26,0.93,0.7,0.6,290,24
"J0330-0020",0.351,1.071,220,22,1.1,1.5,1.4,212,21
"J1542+1629",0.352,1.023,213,16,1.04,1,1.8,210,16
"J0232-0408",0.352,2.34,287,27,1.04,1,0.7,281,26
"J1525+3327",0.358,0.717,264,26,1.31,1.5,1.4,264,26
"J2125+0411",0.363,0.978,250,17,1.2,1,1.8,247,17
"J0855-0147",0.365,3.39,228,26,1.03,0.7,0.6,222,25
"J1420+5258",0.38,0.99,252,24,0.96,1,0.8,246,23
"J0219-0829",0.389,2.15,298,24,1.3,1,0.7,289,23
"J1637+1439",0.391,0.874,215,31,0.65,1,1.8,208,30
"J2203+0205",0.4,2.15,219,22,1.95,1,0.9,213,21
"J1631+1854",0.408,1.086,272,14,1.63,1,1.8,272,14
"J0855-0409",0.419,2.95,283,22,1.36,0.7,0.6,281,22
"J0903+4116",0.43,1.065,228,28,1.29,1.5,1.4,223,27
"J2222+0012",0.436,1.36,223,22,1.44,1,0.9,221,22
"J0747+4448",0.437,0.897,277,51,0.61,1,1.8,281,52
"J2303+0037",0.458,0.936,278,31,1.02,1,1.8,274,31
"J1420+5630",0.483,3.12,230,19,1.4,1,0.8,228,19
"Q0047-2808",0.485,3.595,239,16,1.34,1.25,0.7,229,15
"J0226-0420",0.494,1.232,272,25,1.19,1,0.6,263,24
"J0223-0534",0.499,1.44,293,28,1.22,1,0.6,288,28
"J0157-0056",0.513,0.924,308,49,0.79,1.5,1.4,295,47
"J0151+0049",0.517,1.364,226,40,0.68,1,1.8,219,39
"J1545+2748",0.522,1.289,247,37,1.21,1,1.8,250,37
"J1405+5243",0.526,3.01,294,22,1.51,1,0.8,284,21
"J0830+5116",0.53,1.332,274,37,1.14,1,1.8,268,36
"J0944-0147",0.539,1.179,207,35,0.72,1,1.8,204,34
"J1601+2138",0.544,1.446,217,38,0.86,1,1.8,207,36
"J1337+3620",0.564,1.182,227,35,1.39,1,1.8,225,35
"J0214-0405",0.609,1.88,293,48,1.41,1,0.8,287,47
"J1215+0047",0.642,1.297,266,46,1.37,1,1.8,262,45
"J0217-0513",0.646,1.847,253,29,1.27,1.5,0.6,239,27
"J1406+5226",0.716,1.47,262,20,0.94,1,0.9,253,19
"J0213-0743",0.717,3.48,293,34,2.39,1,0.6,293,34
"J0212-0555",0.75,2.74,277,22,1.27,0.9,0.7,273,22
"J1359+5535",0.783,2.77,233,30,1.14,1,0.7,228,29
"HST14176+5226",0.81,3.399,232,16,1.41,1.25,0.75,224,15
"CFRS03.1077",0.938,2.941,256,19,1.24,1.25,0.8,251,19
